system_number,accession_number,LocationString,Room
102422,2004.97.45,"Art Gallery (Kahn), Kahn, 103",103
26841,1984.123.13b,"Art Gallery (Kahn), Kahn, 103",103
26903,1984.123.13p,"Art Gallery (Kahn), Kahn, 103",103
26917,1984.123.13t,"Art Gallery (Kahn), Kahn, 103",103
26894,1984.123.13n,"Art Gallery (Kahn), Kahn, 103",103
26878,1984.123.13j,"Art Gallery (Kahn), Kahn, 103",103
112484,2014.121.40,"Art Gallery (Kahn), Kahn, 103",103
102444,2004.97.67,"Art Gallery (Kahn), Kahn, 103",103
26870,1984.123.13h,"Art Gallery (Kahn), Kahn, 103",103
112487,2014.121.43,"Art Gallery (Kahn), Kahn, 103",103
84042,2006.51.44,"Art Gallery (Kahn), Kahn, 103",103
26872,1984.123.13i,"Art Gallery (Kahn), Kahn, 103",103
102452,2004.97.75,"Art Gallery (Kahn), Kahn, 103",103
6971,1937.157,"Art Gallery (Kahn), Kahn, 103",103
124416,2007.207.2,"Art Gallery (Kahn), Kahn, 103",103
6972,1937.158,"Art Gallery (Kahn), Kahn, 103",103
84376,2006.51.178,"Art Gallery (Kahn), Kahn, 103",103
212068,2016.119.55,"Art Gallery (Kahn), Kahn, 103",103
212065,2016.119.53,"Art Gallery (Kahn), Kahn, 103",103
212064,2016.119.52,"Art Gallery (Kahn), Kahn, 103",103
84530,2006.51.351,"Art Gallery (Kahn), Kahn, 103",103
276806,2018.172.1,"Art Gallery (Kahn), Kahn, 103",103
84262,2006.51.61,"Art Gallery (Kahn), Kahn, 103",103
230494,2023.46.3,"Art Gallery (Kahn), Kahn, 103",103
230496,2023.46.4,"Art Gallery (Kahn), Kahn, 103",103
230498,2023.46.5,"Art Gallery (Kahn), Kahn, 103",103
230493,2023.46.2,"Art Gallery (Kahn), Kahn, 103",103
236772,2023.46.8,"Art Gallery (Kahn), Kahn, 103",103
236771,2023.46.7,"Art Gallery (Kahn), Kahn, 103",103
236773,2023.46.9,"Art Gallery (Kahn), Kahn, 103",103
84444,2006.51.246,"Art Gallery (Kahn), Kahn, 103",103
284930,2019.67.1,"Art Gallery (Kahn), Kahn, 103",103
77905,1997.58.1,"Art Gallery (Kahn), Kahn, 103",103
127604,2008.189.5,"Art Gallery (Kahn), Kahn, 103",103
214135,2016.48.1,"Art Gallery (Kahn), Kahn, 103",103
292218,2020.57.1,"Art Gallery (Kahn), Kahn, 103",103
111451,2010.214.1,"Art Gallery (Kahn), Kahn, 103",103
157202,2010.119.1,"Art Gallery (Kahn), Kahn, 103",103
158400,2010.239.1,"Art Gallery (Kahn), Kahn, 103",103
157210,2010.223.1,"Art Gallery (Kahn), Kahn, 103",103
84298,2006.51.102,"Art Gallery (Kahn), Kahn, 103",103
84378,2006.51.180,"Art Gallery (Kahn), Kahn, 103",103
60972,1996.13.1,"Art Gallery (Kahn), Kahn, 103",103
169101,2011.237.9,"Art Gallery (Kahn), Kahn, 103",103
169095,2011.237.3,"Art Gallery (Kahn), Kahn, 103",103
169093,2011.237.1,"Art Gallery (Kahn), Kahn, 103",103
51853,1960.33.4a-b,"Art Gallery (Kahn), Kahn, 103",103
84054,2006.51.56,"Art Gallery (Kahn), Kahn, 103",103
122429,2012.86.42,"Art Gallery (Kahn), Kahn, 103",103
122443,2010.124.16,"Art Gallery (Kahn), Kahn, 103",103
122440,2012.86.52,"Art Gallery (Kahn), Kahn, 103",103
122406,2012.86.30,"Art Gallery (Kahn), Kahn, 103",103
122417,2011.23.5,"Art Gallery (Kahn), Kahn, 103",103
122441,2011.23.10,"Art Gallery (Kahn), Kahn, 103",103
122414,2013.62.3.1-.2,"Art Gallery (Kahn), Kahn, 103",103
122435,2012.86.48,"Art Gallery (Kahn), Kahn, 103",103
122333,2011.23.1a-b,"Art Gallery (Kahn), Kahn, 103",103
122445,2011.23.12,"Art Gallery (Kahn), Kahn, 103",103
122397,2010.124.11,"Art Gallery (Kahn), Kahn, 103",103
122367,2009.179.3,"Art Gallery (Kahn), Kahn, 103",103
122416,2011.23.4.1-.2,"Art Gallery (Kahn), Kahn, 103",103
84646,2006.51.467,"Art Gallery (Kahn), Kahn, 103",103
84645,2006.51.466,"Art Gallery (Kahn), Kahn, 103",103
84647,2006.51.468,"Art Gallery (Kahn), Kahn, 103",103
84644,2006.51.465,"Art Gallery (Kahn), Kahn, 103",103
84511,2006.51.333,"Art Gallery (Kahn), Kahn, 103",103
84718,2006.51.542,"Art Gallery (Kahn), Kahn, 103",103
103164,2005.41.1,"Art Gallery (Kahn), Kahn, 103",103
84285,2006.51.88,"Art Gallery (Kahn), Kahn, 103",103
84312,2006.51.116,"Art Gallery (Kahn), Kahn, 103",103
102158,2005.19.1,"Art Gallery (Kahn), Kahn, 103",103
84282,2006.51.85,"Art Gallery (Kahn), Kahn, 103",103
86154,2006.51.281,"Art Gallery (Kahn), Kahn, 103",103
172012,2011.219.1,"Art Gallery (Kahn), Kahn, 103",103
290789,2019.99.1,"Art Gallery (Kahn), Kahn, 103",103
6970,1937.156,"Art Gallery (Kahn), Kahn, 103",103
181286,2015.134.3,"Art Gallery (Kahn), Kahn, 103",103
84566,2006.51.389,"Art Gallery (Kahn), Kahn, 103",103
218964,2017.22.2,"Art Gallery (Kahn), Kahn, 103",103
84314,2006.51.118,"Art Gallery (Kahn), Kahn, 103",103
84452,2006.51.253,"Art Gallery (Kahn), Kahn, 103",103
84503,2006.51.325,"Art Gallery (Kahn), Kahn, 103",103
84522,2006.51.343,"Art Gallery (Kahn), Kahn, 103",103
84438,2006.51.240,"Art Gallery (Kahn), Kahn, 103",103
84427,2006.51.229,"Art Gallery (Kahn), Kahn, 103",103
84477,2006.51.298,"Art Gallery (Kahn), Kahn, 103",103
15139,1954.28.34,"Art Gallery (Kahn), Kahn, 103",103
84283,2006.51.86,"Art Gallery (Kahn), Kahn, 103",103
10888,1955.61.18,"Art Gallery (Kahn), Kahn, 103",103
84373,2006.51.175,"Art Gallery (Kahn), Kahn, 103",103
230343,2018.83.1,"Art Gallery (Kahn), Kahn, 103",103
84661,2006.51.482,"Art Gallery (Kahn), Kahn, 103",103
175342,2012.82.6,"Art Gallery (Kahn), Kahn, 194 McNeil Corridor",194
6186,1934.146,"Art Gallery (Kahn), Kahn, 200",200
9242,1958.88.34,"Art Gallery (Kahn), Kahn, 200",200
15006,1940.307,"Art Gallery (Kahn), Kahn, 200",200
8345,1956.42.2,"Art Gallery (Kahn), Kahn, 200",200
8361,1956.42.3,"Art Gallery (Kahn), Kahn, 200",200
57075,1985.115.1,"Art Gallery (Kahn), Kahn, 200",200
9206,1958.88.31,"Art Gallery (Kahn), Kahn, 200",200
8340,1956.42.1,"Art Gallery (Kahn), Kahn, 200",200
52293,1957.41.1a-b,"Art Gallery (Kahn), Kahn, 200",200
3050,1928.176,"Art Gallery (Kahn), Kahn, 200",200
61107,1986.109.2,"Art Gallery (Kahn), Kahn, 200",200
59969,1993.31.1a-b,"Art Gallery (Kahn), Kahn, 200",200
10167,1959.64.1,"Art Gallery (Kahn), Kahn, 200",200
46721,1947.77,"Art Gallery (Kahn), Kahn, 200",200
51177,1955.4.97a-b,"Art Gallery (Kahn), Kahn, 200",200
